NutrientID,NutrientCode,NutrientSymbol
203,203,PROT
204,204,FAT
205,205,CARB
207,207,ASH
208,208,KCAL
810,209,STAR
210,210,SUCR
211,211,GLUC
212,212,FRUC
213,213,LACT
214,214,MALT
221,221,ALCO
245,245,OXAL
255,255,H2O
260,260,MANN
261,261,SORB
262,262,CAFF
263,263,THBR
268,268,KJ
269,269,TSUG
287,287,GAL
291,291,TDF
301,301,CA
303,303,FE
304,304,MG
305,305,P
306,306,K
307,307,NA
309,309,ZN
312,312,CU
315,315,MN
317,317,SE
319,319,RT-�G
814,320,RAE
321,321,BC-�G
834,322,AC-�G
323,323,ATMG
324,324,D-IU
876,325,D2-�G
339,328,D3+D2-�G
835,334,CRYPX
836,337,LYCPN
837,338,LUT+ZEA
811,341,BTMG
812,342,GTMG
813,343,DTMG
401,401,VITC
404,404,THIA
405,405,RIBO
406,406,N-MG
409,409,N-NE
410,410,PANT
415,415,B6
416,416,BIOT
417,417,FOLA
418,418,B12
862,421,CHOLN
430,430,VITK
431,431,FOAC
806,432,FOLN
815,435,DFE
863,454,BETN
501,501,TRP
502,502,THR
503,503,ISO
504,504,LEU
505,505,LYS
506,506,MET
507,507,CYS
508,508,PHE
509,509,TYR
510,510,VAL
511,511,ARG
512,512,HIS
513,513,ALA
514,514,ASP
515,515,GLU
516,516,GLY
517,517,PRO
518,518,SER
828,521,HYP
550,550,ASPA
875,573,ATMG-A
874,578,B12-A
601,601,CHOL
605,605,TRFA
606,606,TSAT
607,607,4:0
608,608,6:0
609,609,8:0
610,610,10:0
611,611,12:0
612,612,14:0
613,613,16:0
614,614,18:0
615,615,20:0
617,617,18:1undiff
618,618,18:2undiff
619,619,18:3undiff
620,620,20:4undiff
621,621,22:6n-3DHA
624,624,22:0
625,625,14:1
626,626,16:1undiff
627,627,18:4
628,628,20:1
629,629,20:5n-3EPA
630,630,22:1undiff
631,631,22:5n-3DPA
636,636,TPST
638,638,STIG
866,639,CAMSTR
816,641,SITSTR
645,645,MUFA
646,646,PUFA
652,652,15:0
653,653,17:0
654,654,24:0
817,662,16:1t
818,663,18:1t
852,664,22:1t
819,666,18:2i
853,669,"18:2t,t"
838,670,18:2cla
820,671,24:1c
823,672,20:2cc
821,673,16:1c
824,674,18:1c
825,675,18:2ccn-6
840,676,22:1c
832,685,18:3cccn-6
826,687,17:1
827,689,20:3undiff
829,693,TRMO
859,695,TRPO
830,696,13:0
833,697,15:1
802,802,TMOS
803,803,TDIS
831,851,18:3cccn-3
861,852,20:3n-3
854,853,20:3n-6
855,855,20:4n-6
841,856,18:3i
843,857,21:5
845,858,22:4n-6
846,859,24:1undiff
847,860,12:1
848,861,22:3
849,862,22:2
868,902,TOmega n-3
869,903,TOmega n-6
