FoodID,NutrientID,NutrientValue,StandardError,NumberofObservations,NutrientSourceID,NutrientDateOfEntry
2,203,9.54,0,0,102,2010-04-16
2,204,15.7,0,0,102,2010-04-16
2,205,5.91,0,0,102,2010-04-16
2,207,1.67,0,0,102,2010-04-16
2,208,204,0,0,102,2010-04-16
2,221,0,,0,12,2004-09-13
2,255,67.17,0,0,102,2010-04-16
2,262,0,,0,12,2004-09-13
2,263,0,,0,12,2004-09-13
2,268,853,0,0,4,2010-04-16
2,269,2.66,,,102,2010-04-16
2,291,0.1,0,0,102,2010-04-16
2,301,184,0,0,102,2010-04-16
2,303,0.74,0,0,102,2010-04-16
2,304,13,,,102,2010-04-16
2,305,167,0,0,102,2010-04-16
2,306,119,0,0,102,2010-04-16
2,307,318,0,0,102,2010-04-16
2,309,1.1,0,0,102,2010-04-16
2,312,0.031,0,0,102,2010-04-16
2,315,0.043,,,102,2010-04-16
2,317,15.8,,,102,2010-04-16
2,319,188,,,102,2010-04-16
2,321,64,,,102,2010-04-16
2,323,2.03,0,0,102,2010-04-16
2,324,79,,,102,2010-04-16
2,339,2,0,0,102,2010-04-16
2,401,0,0,0,102,2010-04-16
2,404,0.052,0,0,102,2010-04-16
2,405,0.296,0,0,102,2010-04-16
2,406,0.317,0,0,102,2010-04-16
2,409,2.55,0,0,4,2010-04-16
2,410,0.971,0,0,102,2010-04-16
2,415,0.038,0,0,102,2010-04-16
2,417,27,0,0,102,2010-04-16
2,418,0.604,0,0,102,2010-04-16
2,430,8,,,102,2010-04-16
2,431,6,,,102,2010-04-16
2,501,0.134,,,102,2010-04-16
2,502,0.366,0,0,102,2010-04-16
2,503,0.538,,,102,2010-04-16
2,504,0.889,,,102,2010-04-16
2,505,0.717,,,102,2010-04-16
2,506,0.266,0,0,102,2010-04-16
2,507,0.155,,,102,2010-04-16
2,508,0.517,,,102,2010-04-16
2,509,0.428,0,0,102,2010-04-16
2,510,0.621,,,102,2010-04-16
2,511,0.449,0,0,102,2010-04-16
2,512,0.237,0,0,102,2010-04-16
2,513,0.391,0,0,102,2010-04-16
2,514,0.781,,,102,2010-04-16
2,515,2.017,,,102,2010-04-16
2,516,0.233,,,102,2010-04-16
2,517,0.825,,,102,2010-04-16
2,518,0.623,,,102,2010-04-16
2,601,129,0,0,102,2010-04-16
2,605,1.239,,,102,2010-04-16
2,606,5.742,0,0,102,2010-04-16
2,609,0.044,0,0,102,2010-04-16
2,610,0.103,,,102,2010-04-16
2,611,0.136,,,102,2010-04-16
2,612,0.62,,,102,2010-04-16
2,613,2.968,,,102,2010-04-16
2,614,1.389,0,0,102,2010-04-16
2,617,5.383,0,0,102,2010-04-16
2,618,2.204,0,0,102,2010-04-16
2,619,0.484,0,0,102,2010-04-16
2,620,0.047,,,102,2010-04-16
2,621,0.022,,0,102,2010-04-16
2,626,0.274,0,0,102,2010-04-16
2,627,0,,,102,2010-04-16
2,629,0.001,8,0,102,1997-05-01
2,630,0.002,,,102,2010-04-16
2,631,0.003,,0,102,2010-04-16
2,645,5.82,0,0,102,2010-04-16
2,646,2.77,0,0,102,2010-04-16
2,806,21,,,102,2010-04-16
2,814,194,,,102,2010-04-16
2,815,30,,,4,2010-04-16
2,825,2.01,,,102,2010-04-16
2,827,0.006,,0,102,2010-04-16
2,831,0.452,,0,102,2010-04-16
2,832,0.03,,0,102,2010-04-16
2,835,0,,,12,2010-04-16
2,836,0,,,12,2010-04-16
2,837,99,,,102,2012-05-28
2,854,0.006,,0,2,2010-04-27
2,855,0.047,,,102,2010-04-16
2,861,0,,0,12,2009-07-14
2,874,0,,,12,2015-02-27
2,875,0,,,12,2015-02-27
2,876,0,,,12,2015-02-27
4,203,4.07,0,0,102,2010-04-19
4,204,2.8,0,0,102,2010-04-19
4,205,5.29,0,0,102,2010-04-19
4,207,1.65,0,0,102,2010-04-19
4,208,60,0,0,102,2010-04-19
4,221,0,,0,12,2004-09-13
4,255,86.26,0,0,102,2010-04-19
4,262,0,,0,12,2004-09-13
4,263,0,,0,12,2004-09-13
4,268,251,0,0,4,2010-04-19
4,269,3.4,,,102,2010-04-19
4,291,1.1,,,102,2010-04-19
4,301,17,0,0,102,2010-04-19
4,303,0.59,0,0,102,2010-04-19
4,304,13,,,102,2010-04-19
4,305,54,0,0,102,2010-04-19
4,306,164,0,0,102,2010-04-19
4,307,490,0,0,102,2010-04-19
4,309,0.39,,,102,2010-04-19
4,312,0.097,,,102,2010-04-19
4,315,0.137,,,102,2010-04-19
4,317,2.6,,,102,2010-04-19
4,319,1,,,102,2010-04-19
4,321,47,,,102,2010-04-19
4,323,0.45,,,102,2010-04-19
4,324,1,,,102,2010-04-19
4,339,0,,,102,2010-04-19
4,401,4.5,0,0,102,2010-04-19
4,404,0.041,0,0,102,2010-04-19
4,405,0.069,0,0,102,2010-04-19
4,406,1.478,0,0,102,2010-04-19
4,409,2.06,0,0,4,2010-04-19
4,410,0.304,,,102,2010-04-19
4,415,0.086,,,102,2010-04-19
4,417,24,0,0,102,2010-04-19
4,418,0.058,,,102,2010-04-19
4,430,16.9,,,102,2010-04-19
4,431,0,,,102,2010-04-19
4,501,0.035,,,102,2010-04-19
4,502,0.111,,,102,2010-04-19
4,503,0.147,,,102,2010-04-19
4,504,0.208,,,102,2010-04-19
4,505,0.22,,,102,2010-04-19
4,506,0.064,,,102,2010-04-19
4,507,0.029,,,102,2010-04-19
4,508,0.119,,,102,2010-04-19
4,509,0.084,,,102,2010-04-19
4,510,0.148,,,102,2010-04-19
4,511,0.188,,,102,2010-04-19
4,512,0.085,,,102,2010-04-19
4,513,0.143,,,102,2010-04-19
4,514,0.347,,,102,2010-04-19
4,515,0.399,,,102,2010-04-19
4,516,0.121,,,102,2010-04-19
4,517,0.089,,,102,2010-04-19
4,518,0.084,,,102,2010-04-19
4,601,6,0,0,102,2010-04-19
4,605,0.078,,,102,2010-04-19
4,606,0.364,0,0,102,2010-04-19
4,607,0,,,102,2010-04-19
4,608,0,,,102,2010-04-19
4,609,0,,,102,2010-04-19
4,610,0,,,102,2010-04-19
4,611,0.001,,,102,2010-04-19
4,612,0.006,,,102,2010-04-19
4,613,0.239,,,102,2010-04-19
4,614,0.089,,,102,2010-04-19
4,617,1.466,0,0,102,2010-04-19
4,618,0.541,0,0,102,2010-04-19
4,619,0.193,,,102,2010-04-19
4,620,0.007,,,102,2010-04-19
4,621,0.003,,,102,2010-04-19
4,626,0.038,,,102,2010-04-19
4,627,0,,,102,2010-04-19
4,629,0.001,,,102,2010-04-19
4,630,0,,,102,2010-04-19
4,631,0.001,,,102,2010-04-19
4,645,1.54,0,0,102,2015-04-21
4,646,0.75,0,0,102,2015-04-21
4,806,24,,,102,2010-04-19
4,814,5,,,102,2010-04-19
4,815,25,,,4,2010-04-19
4,827,0,,0,12,2009-07-14
4,831,0.193,,,102,2010-04-19
4,832,0,,0,102,2009-07-14
4,834,2,,,102,2010-04-19
4,835,2,,,102,2010-04-19
4,836,0,,,102,2010-04-19
4,837,50,,,102,2010-04-19
4,840,0,,,102,2010-04-19
4,841,0,,,12,2010-04-19
4,852,0,,,102,2010-04-19
4,854,0,,0,102,2009-07-14
4,855,0.007,,,102,2010-05-28
4,861,0,,0,102,2009-07-14
4,874,0,,,12,2015-04-21
4,875,0,,,12,2015-04-21
5,203,6.76,0.538,6,0,2013-05-22
5,204,2.8,0.406,12,0,2013-05-22
5,205,8.29,,0,0,2013-05-22
5,207,1.13,0.092,6,0,2013-05-22
5,208,85,,0,0,2015-04-28
5,210,0.6,0.101,6,0,2013-05-22
5,211,0.65,0.077,6,0,2013-05-22
5,212,0.49,0.062,6,0,2013-05-22
5,213,0,0,6,0,2013-05-22
5,214,0,0,6,0,2013-05-22
5,221,0,,0,12,2004-09-13
5,255,81.01,3.221,4,0,2013-05-22
5,262,0,,0,12,2004-09-13
5,263,0,,0,12,2004-09-13
5,268,355,0,0,4,2015-04-28
5,269,1.74,0.163,6,0,2013-05-22
5,287,0,0,6,0,2013-05-22
5,291,1,0.075,6,0,2013-05-22
5,301,21,1.614,12,0,2013-05-22
5,303,0.67,0.151,12,0,2013-05-22
5,304,11,0.88,12,0,2013-05-22
5,305,54,4.663,12,0,2013-05-22
5,306,124,8.601,12,0,2013-05-22
5,307,311,36.558,12,0,2013-05-22
5,309,0.32,0.045,12,0,2013-05-22
5,312,0.029,0.005,12,0,2013-05-22
5,315,0.099,0.019,12,0,2013-05-22
5,317,6.1,1.532,3,0,2013-05-22
5,319,1,0.767,3,0,2013-05-22
5,321,166,128.016,3,0,2013-05-22
5,323,0.43,0.186,3,0,2013-05-22
5,324,1,,,102,2010-04-16
5,339,0,,,102,2010-04-16
5,401,2,0.503,6,0,2013-05-22
5,404,0.031,0.01,6,0,2013-05-22
5,405,0.023,0.006,6,0,2013-05-22
5,406,1.468,0.209,6,0,2013-05-22
5,409,2.851,0,0,4,2013-05-22
5,410,0.26,0.061,3,0,2013-05-22
5,415,0.175,0.014,6,0,2013-05-22
