FoodID,NutrientID,NutrientValue,StandardError,NumberofObservations,NutrientSourceID,NutrientDateOfEntry
1693,606,0.012,,0,0,2009-07-02
1693,607,0,,0,0,2004-04-02
1693,608,0,,0,0,2004-04-02
1693,609,0,,0,0,2004-04-02
1693,610,0,,0,0,2004-04-02
1693,611,0,,0,0,2004-04-02
1693,612,0,,0,0,2004-04-02
1693,613,0.01,,1,0,1997-05-01
1693,614,0.002,,1,0,1997-05-01
1693,617,0.047,,1,0,2009-07-02
1693,618,0.054,,1,0,2009-07-02
1693,619,0.001,,1,0,1997-05-01
1693,620,0,,0,0,2004-04-02
1693,621,0,,0,0,2004-04-02
1693,626,0.001,,1,0,1997-05-01
1693,627,0,,0,0,2004-04-02
1693,628,0.001,,1,0,1997-05-01
1693,629,0,,0,0,2004-04-02
1693,630,0,,0,0,2004-04-02
1693,631,0,,0,0,2004-04-02
1693,645,0.049,,0,0,2009-07-02
1693,646,0.055,,0,0,2009-07-02
1693,806,8,,2,0,2002-08-28
1693,814,0,,0,0,2009-07-02
1693,815,8,,0,4,2005-01-17
1693,831,0.001,,,14,2008-12-12
1693,832,0,,,12,2008-12-12
1693,834,0,,0,0,2005-03-22
1693,835,0,,0,0,2005-03-22
1693,836,0,,0,0,2005-03-22
1693,837,50,,0,0,2005-03-22
1693,854,0,,,12,2009-05-29
1693,855,0,,,12,2010-06-09
1693,861,0,,,12,2009-05-29
1693,862,5.1,,0,0,2010-06-15
1694,203,0.37,0.011,73,0,2009-07-02
1694,204,0.09,0.004,50,0,1997-05-01
1694,205,14.39,,0,0,1997-05-01
1694,207,0.29,0.006,56,0,1997-05-01
1694,208,56,,0,0,1997-05-01
1694,221,0,,0,0,1997-05-01
1694,255,84.87,0.033,177,0,2009-07-02
1694,262,0,,0,0,2004-04-02
1694,263,0,,0,0,2004-04-02
1694,268,234,,0,0,2002-12-18
1694,269,13.79,,0,0,2003-10-21
1694,291,0.6,,0,0,1997-05-01
1694,301,7,0.226,56,0,2009-07-02
1694,303,0.38,0.016,68,0,2009-07-02
1694,304,5,0.095,57,0,2009-07-02
1694,305,9,0.213,61,0,2009-07-02
1694,306,114,2.54,45,0,1997-05-01
1694,307,3,0.457,45,0,2009-07-02
1694,309,0.09,0.002,46,0,1997-05-01
1694,312,0.073,0.003,46,0,2009-07-02
1694,315,0.032,,0,0,2009-07-02
1694,317,0,,0,0,2004-03-31
1694,319,0,,,0,2004-06-15
1694,321,786,,,0,2004-06-15
1694,323,0.31,,0,0,2004-04-02
1694,324,0,,0,0,2010-03-25
1694,339,0,,0,0,2010-03-25
1694,401,0.6,0.026,184,0,2009-07-02
1694,404,0.009,0,89,0,1997-05-01
1694,405,0.014,0,101,0,2009-07-02
1694,406,0.26,0.016,84,0,2009-07-02
1694,409,0.328,0,0,4,1997-05-01
1694,410,0.096,,0,0,2009-07-02
1694,415,0.022,,0,0,2009-07-02
1694,417,1,0.246,5,0,2009-07-02
1694,418,0,,0,0,1997-05-01
1694,430,1.2,,0,0,2004-04-02
1694,431,0,,0,0,2002-08-27
1694,601,0,,0,0,1997-05-01
1694,606,0.006,,0,0,1997-05-01
1694,607,0,,0,0,2004-04-02
1694,608,0,,0,0,2004-04-02
1694,609,0,,0,0,2004-04-02
1694,610,0,,0,0,2004-04-02
1694,611,0,,0,0,2004-04-02
1694,612,0,,0,0,2004-04-02
1694,613,0.005,,0,0,1997-05-01
1694,614,0.001,,0,0,1997-05-01
1694,617,0.038,,0,0,2009-07-02
1694,618,0.017,,0,0,2009-07-02
1694,619,0,,0,0,2004-02-06
1694,620,0,,0,0,2004-04-02
1694,621,0,,0,0,2004-04-02
1694,626,0,,0,0,2004-04-02
1694,627,0,,0,0,2004-04-02
1694,628,0,,0,0,2004-04-02
1694,629,0,,0,0,2004-04-02
1694,630,0,,0,0,2004-04-02
1694,631,0,,0,0,2004-04-02
1694,645,0.038,,0,0,2009-07-02
1694,646,0.017,,0,0,2009-07-02
1694,806,1,0.246,5,0,2009-07-02
1694,814,66,0.874,262,0,2009-07-02
1694,815,1,,0,4,2005-01-17
1694,817,0,,,12,2010-06-09
1694,821,0,,,12,2010-06-09
1694,831,0,,,12,2008-12-12
