FoodID,NutrientID,NutrientValue,StandardError,NumberofObservations,NutrientSourceID,NutrientDateOfEntry
2993,315,0.025,0.005,4,0,2009-07-02
2993,317,12.6,0.823,5,0,2009-07-02
2993,319,15,,,2,2002-11-13
2993,321,0,,,2,2002-11-13
2993,324,500,,0,0,1999-07-14
2993,339,12.5,,0,0,2010-03-25
2993,401,0.7,0.225,4,0,2009-07-02
2993,404,0.21,0.03,4,0,1997-05-01
2993,405,0.072,0.006,5,0,2009-07-02
2993,406,1.907,0.167,4,0,2009-07-02
2993,409,4.957,0,0,4,2009-07-24
2993,410,0.765,0.12,4,0,2009-07-02
2993,415,0.116,0.012,4,0,2009-07-02
2993,417,10,,2,0,1997-05-01
2993,418,2.23,0.155,4,0,2009-07-02
2993,431,0,,0,0,2002-11-26
2993,501,0.183,,0,0,2009-07-02
2993,502,0.718,,0,0,2009-07-02
2993,503,0.755,,0,0,2009-07-02
2993,504,1.331,,0,0,2009-07-02
2993,505,1.504,,0,0,2009-07-02
2993,506,0.485,,0,0,2009-07-02
2993,507,0.176,,0,0,2009-07-02
2993,508,0.639,,0,0,2009-07-02
2993,509,0.553,,0,0,2009-07-02
2993,510,0.844,,0,0,2009-07-02
2993,511,0.98,,0,0,1997-05-01
2993,512,0.482,,0,0,2009-07-02
2993,513,0.991,,0,0,2009-07-02
2993,514,1.677,,0,0,2009-07-02
2993,515,2.445,,0,0,2009-07-02
2993,516,0.786,,0,0,2009-07-02
2993,517,0.579,,0,0,2009-07-02
2993,518,0.668,,0,0,2009-07-02
2993,601,58,3.53,4,0,1997-05-01
2993,606,0.722,,0,0,2009-07-02
2993,607,0,,0,0,2000-12-05
2993,608,0,,0,0,2000-12-05
2993,609,0,,0,0,2000-12-05
2993,610,0,,0,0,2000-12-05
2993,611,0,,0,0,2000-12-05
2993,612,0.064,,10,0,2009-07-02
2993,613,0.442,,10,0,2009-07-02
2993,614,0.15,,10,0,1997-05-01
2993,617,0.594,,10,0,2009-07-02
2993,618,0.101,,10,0,2009-07-02
2993,619,0.071,,10,0,2009-07-02
2993,620,0.149,,10,0,2009-07-02
2993,621,0.234,,10,0,2009-07-02
2993,626,0.176,,10,0,2009-07-02
2993,627,0.013,,10,0,2009-07-02
2993,628,0.021,,10,0,2009-07-02
2993,629,0.13,,10,0,1997-05-01
2993,630,0.008,,10,0,1997-05-01
2993,631,0.1,0,10,0,1997-05-01
2993,645,0.844,,0,0,2009-07-02
2993,646,0.865,,0,0,2009-07-02
2993,802,0,,,12,2003-01-20
2993,803,0,,,12,2003-01-20
2993,806,10,,2,0,2002-11-26
2993,810,0,,,12,2008-07-15
2993,814,15,0,4,0,2004-04-26
2993,815,10,,0,4,2005-01-17
2993,825,0.1,,,14,2009-09-09
2993,831,0.07,,,14,2009-09-09
2993,832,0,,,12,2009-09-09
2993,855,0.14,,,14,2009-09-09
2993,868,0.53,,,2,2009-09-17
2993,869,0.24,,,2,2009-09-17
2994,203,18.09,,0,0,1997-05-01
2994,204,13.33,,0,0,1997-05-01
2994,205,8.04,,0,0,1997-05-01
2994,207,1.26,,0,0,1997-05-01
2994,208,229,,0,0,1997-05-01
2994,221,0,,0,12,2004-10-04
2994,255,58.81,,0,0,1997-05-01
2994,262,0,,0,12,2004-10-04
2994,263,0,,0,12,2004-10-04
2994,268,956,,0,0,2012-11-04
2994,291,0.7,,0,0,2005-04-05
2994,301,44,,0,0,1997-05-01
2994,303,1.43,,0,0,1997-05-01
2994,304,27,,0,0,1997-05-01
2994,305,216,,0,0,1997-05-01
2994,306,340,,0,0,1997-05-01
2994,307,280,,0,0,1997-05-01
2994,309,0.86,,0,0,1997-05-01
2994,312,0.101,,0,0,2009-07-02
2994,315,0.04,,0,0,2004-04-02
2994,317,13.9,,0,0,2001-02-28
2994,401,0,,0,0,1997-05-01
2994,404,0.073,,0,0,2009-07-02
2994,405,0.133,,0,0,2009-07-02
2994,406,2.282,,0,0,2009-07-02
2994,409,5.615,0,0,4,2009-07-24
2994,410,0.73,,0,0,2004-03-31
2994,415,0.19,,0,0,2004-04-02
2994,417,31,,0,4,2010-03-29
2994,418,1.9,,0,0,2004-04-02
2994,431,14,,0,0,2001-12-03
2994,501,0.2,,0,0,1997-05-01
2994,502,0.79,,0,0,1997-05-01
2994,503,0.836,,0,0,2009-07-02
2994,504,1.508,,0,0,2009-07-02
2994,505,1.597,,0,0,2009-07-02
2994,506,0.527,,0,0,2009-07-02
2994,507,0.205,,0,0,2009-07-02
2994,508,0.726,,0,0,2009-07-02
2994,509,0.622,,0,0,2009-07-02
2994,510,0.943,,0,0,2009-07-02
2994,511,1.077,,0,0,2009-07-02
2994,512,0.53,,0,0,1997-05-01
2994,513,1.103,,0,0,2009-07-02
2994,514,1.817,,0,0,2009-07-02
2994,515,2.72,,0,0,1997-05-01
2994,516,0.851,,0,0,2009-07-02
2994,517,0.686,,0,0,2009-07-02
2994,518,0.764,,0,0,2009-07-02
2994,601,71,,0,0,2012-11-04
2994,606,3.288,,0,0,2009-07-02
2994,612,0.091,,0,0,2009-07-02
2994,613,2.008,,0,0,2009-07-02
2994,614,1.169,,0,0,2009-07-02
2994,617,5.347,,0,0,2009-07-02
2994,618,2.616,,0,0,2009-07-02
2994,619,0.178,,0,0,2009-07-02
2994,620,0.098,,0,0,2009-07-02
2994,621,0.222,,0,0,2009-07-02
2994,626,0.171,,0,0,2009-07-02
2994,627,0.03,,0,0,1997-05-01
2994,628,0.049,,0,0,2009-07-02
2994,629,0.119,,0,0,2009-07-02
2994,630,0.002,,0,0,1997-05-01
2994,631,0.057,,0,0,2009-07-02
2994,645,5.611,,0,0,2009-07-02
2994,646,3.325,,0,0,2009-07-02
2994,806,17,,0,0,2001-12-03
2994,814,8,,0,108,2009-07-02
2994,815,41,,0,4,2010-04-27
2994,825,2.61,,,14,2009-09-09
2994,831,0.17,,,14,2009-09-09
2994,832,0,,,12,2009-09-09
2994,855,0.09,,,14,2009-09-09
2994,868,0.55,,,2,2009-09-17
2994,869,2.7,,,2,2009-09-17
2995,203,24.6,,6,0,1997-05-01
2995,204,17.9,,6,0,1997-05-01
2995,205,4,,0,0,1997-05-01
2995,207,6.5,,2,0,1997-05-01
2995,208,264,,0,0,2012-11-04
2995,221,0,,0,0,2004-04-02
2995,255,47.5,,6,0,1997-05-01
2995,262,0,,0,0,2004-04-02
2995,263,0,,0,0,2004-04-02
2995,268,1105,,0,0,2012-11-04
2995,269,0,,0,0,2004-02-02
2995,291,0,,0,12,1997-05-01
2995,301,275,,0,0,1997-05-01
2995,303,11.88,,0,0,1997-05-01
2995,304,300,,0,0,1997-05-01
2995,305,356,,0,0,1997-05-01
