FoodID,NutrientID,NutrientValue,StandardError,NumberofObservations,NutrientSourceID,NutrientDateOfEntry
4279,645,0.472,,0,0,2009-07-02
4279,646,0.064,,0,0,2009-07-02
4279,806,4,,0,0,2002-10-01
4279,814,52,,0,0,2004-04-26
4279,815,4,,0,4,2005-01-17
4279,827,0,,0,12,2009-07-13
4279,831,0.02,,0,14,2009-07-13
4279,832,0,,0,12,2009-07-13
4279,854,0,,0,12,2009-07-13
4279,861,0,,0,12,2009-07-13
4280,203,2.95,,0,0,2003-03-27
4280,204,3,,0,0,2003-03-27
4280,205,18.68,,0,0,2003-03-27
4280,207,0.74,,0,0,2003-03-27
4280,208,114,,0,0,2010-05-21
4280,221,0,,0,0,2004-04-02
4280,255,74.63,,0,0,2003-03-27
4280,262,0,,0,0,2003-03-17
4280,263,0,,0,0,2003-03-17
4280,268,475,,0,0,2009-07-02
4280,291,0,,0,5,2003-03-27
4280,301,111,,0,0,2003-03-27
4280,303,0.06,,0,0,1997-05-01
4280,304,12,,0,0,1997-05-01
4280,305,84,,0,0,2003-03-27
4280,306,160,,0,0,2003-03-27
4280,307,112,,0,0,2003-03-27
4280,309,0.35,,0,0,1997-05-01
4280,312,0.011,,0,0,2009-07-02
4280,315,0.005,,0,0,2004-03-31
4280,317,5.2,,0,0,2003-03-27
4280,319,28,,,0,2004-06-15
4280,321,16,,,0,2004-06-15
4280,324,36,,0,102,2004-11-18
4280,339,0.9,,,102,2004-11-09
4280,401,0.7,,0,0,2003-03-27
4280,404,0.031,,0,0,2009-07-02
4280,405,0.145,,0,0,2009-07-02
4280,406,0.075,,0,0,2009-07-02
4280,409,0.758,0,0,4,2009-07-24
4280,410,0.282,,0,0,2009-07-02
4280,415,0.034,,0,0,2009-07-02
4280,417,4,,0,0,1997-05-01
4280,418,0.26,,0,0,1997-05-01
4280,431,0,,0,0,2002-10-01
4280,501,0.041,,0,0,2009-07-02
4280,502,0.134,,0,0,2009-07-02
4280,503,0.178,,0,0,2009-07-02
4280,504,0.289,,0,0,2009-07-02
4280,505,0.234,,0,0,2009-07-02
4280,506,0.074,,0,0,2009-07-02
4280,507,0.027,,0,0,2009-07-02
4280,508,0.143,,0,0,2009-07-02
4280,509,0.143,,0,0,2009-07-02
4280,510,0.197,,0,0,2009-07-02
4280,511,0.107,,0,0,2009-07-02
4280,512,0.08,,0,0,2003-03-27
4280,513,0.101,,0,0,2009-07-02
4280,514,0.224,,0,0,2009-07-02
4280,515,0.618,,0,0,2009-07-02
4280,516,0.063,,0,0,2009-07-02
4280,517,0.286,,0,0,2009-07-02
4280,518,0.161,,0,0,2009-07-02
4280,601,12,,0,0,1997-05-01
4280,606,1.8,,0,0,2003-03-27
4280,607,0.097,,0,0,2009-07-02
4280,608,0.057,,0,0,2009-07-02
4280,609,0.033,,0,0,2009-07-02
4280,610,0.075,,0,0,2009-07-02
4280,611,0.084,,0,0,2009-07-02
4280,612,0.301,,0,0,2009-07-02
4280,613,0.788,,0,0,2009-07-02
4280,614,0.363,,0,0,2009-07-02
4280,617,0.753,,0,0,2009-07-02
4280,618,0.067,,0,0,2009-07-02
4280,619,0.044,,0,0,2009-07-02
4280,620,0,,0,0,1997-05-01
4280,621,0,,0,0,2003-03-17
4280,626,0.067,,0,0,2009-07-02
4280,627,0,,0,0,2003-03-17
4280,628,0,,0,0,2003-03-17
4280,629,0,,0,0,2003-03-17
4280,630,0,,0,0,2003-03-17
4280,631,0,,0,0,2003-03-17
4280,636,0,,0,0,1997-05-01
4280,638,0,,,12,2008-09-22
4280,645,0.821,,0,0,2009-07-02
4280,646,0.111,,0,0,2009-07-02
4280,806,4,,0,0,2002-10-01
4280,814,29,,0,0,2009-07-02
4280,815,4,,0,4,2005-01-17
4280,816,0,,,12,2008-09-22
4280,827,0,,0,12,2009-07-13
4280,831,0.04,,0,14,2009-07-13
4280,832,0,,0,12,2009-07-13
4280,854,0,,0,12,2009-07-13
4280,861,0,,0,12,2009-07-13
4281,203,1.3,,1,0,1997-05-01
4281,204,5.2,,1,0,1997-05-01
4281,205,92,,0,0,1997-05-01
4281,207,0.6,,1,0,1997-05-01
4281,208,389,,0,0,1997-05-01
4281,221,0,,0,12,2004-10-04
4281,255,0.6,,1,0,1997-05-01
4281,262,6,,0,0,2002-02-13
4281,263,188,,0,0,2001-03-14
4281,268,1628,,0,0,2009-07-02
4281,291,2.4,,0,5,2000-12-18
4281,301,11,,1,0,1997-05-01
4281,303,1.19,,1,0,1997-05-01
4281,304,38,,1,0,1997-05-01
4281,305,62,,1,0,1997-05-01
4281,306,180,,1,0,1997-05-01
4281,307,76,,1,0,1997-05-01
4281,309,0.81,,1,0,1997-05-01
4281,312,0.294,,1,0,2009-07-02
4281,315,0.333,,1,0,2009-07-02
4281,317,1.6,,0,0,2001-03-14
4281,319,0,,,2,2002-11-13
4281,321,0,,,2,2002-11-13
4281,324,0,,,12,2010-04-21
4281,339,0,,,12,2010-04-21
4281,401,0,,,12,2003-12-09
4281,404,0.006,,1,0,1997-05-01
4281,405,0.029,,1,0,2009-07-02
4281,406,0.142,,1,0,2009-07-02
4281,409,0.475,0,0,4,2009-07-24
4281,410,0.029,,1,0,2009-07-02
4281,415,0.08,,1,0,1997-05-01
4281,417,3,,1,0,1997-05-01
4281,418,0,,1,0,1997-05-01
4281,431,0,,0,0,2002-10-01
4281,501,0.02,,0,0,1997-05-01
4281,502,0.053,,0,0,2009-07-02
4281,503,0.052,,0,0,2009-07-02
4281,504,0.082,,0,0,2009-07-02
4281,505,0.067,,0,0,2009-07-02
4281,506,0.014,,0,0,2009-07-02
4281,507,0.016,,0,0,2009-07-02
4281,508,0.064,,0,0,2009-07-02
4281,509,0.05,,0,0,1997-05-01
4281,510,0.08,,0,0,1997-05-01
4281,511,0.076,,0,0,2009-07-02
4281,512,0.023,,0,0,2009-07-02
4281,513,0.062,,0,0,2009-07-02
4281,514,0.133,,0,0,2009-07-02
4281,515,0.202,,0,0,2009-07-02
4281,516,0.06,,0,0,1997-05-01
4281,517,0.058,,0,0,2009-07-02
4281,518,0.058,,0,0,2009-07-02
4281,601,0,,1,0,1997-05-01
4281,621,0,,0,12,2009-07-13
4281,631,0,,0,12,2009-07-13
4281,806,3,,1,0,2002-10-01
4281,814,0,,0,0,2004-04-26
4281,815,3,,0,4,2005-01-17
4281,827,0,,0,12,2009-07-13
4281,832,0,,0,12,2009-07-13
4281,854,0,,0,12,2009-07-13
4281,861,0,,0,12,2009-07-13
4282,203,1.11,,0,0,2010-03-22
4282,204,13.06,,0,0,2010-03-22
4282,205,71.8,,0,0,2010-03-22
4282,207,0.71,,0,0,2003-03-27
4282,208,408,,0,0,2010-03-22
4282,221,0,,0,0,2004-04-02
4282,255,13.33,,0,0,2010-03-22
4282,262,5,,0,0,2004-03-31
4282,263,146,,0,0,2010-03-22
4282,268,1708,,0,0,2010-03-22
4282,269,0.01,,0,0,2010-03-25
4282,291,1.9,,0,0,2010-03-22
4282,301,12,,0,0,2010-03-22
4282,303,0.93,,0,0,2010-03-22
4282,304,30,,0,0,1997-05-01
