FoodID,NutrientID,NutrientValue,StandardError,NumberofObservations,NutrientSourceID,NutrientDateOfEntry
6031,626,0.12,0.01,6,7,2006-03-30
6031,627,0,,0,0,2015-01-16
6031,628,0,0,6,7,2006-03-30
6031,629,0,,,12,2009-09-30
6031,630,0,0,6,7,2006-03-30
6031,631,0,,,12,2009-06-22
6031,645,1.33,,,2,2006-03-30
6031,646,0.22,,,2,2006-03-30
6031,652,0.01,0,6,7,2006-03-30
6031,653,0.03,0,6,7,2006-03-30
6031,654,0.002,,0,0,2015-01-16
6031,802,0,,,12,2006-03-30
6031,803,0,,,12,2006-03-30
6031,806,5,,0,0,2015-01-15
6031,810,0,,,12,2008-07-15
6031,814,2,,0,0,2015-01-15
6031,815,6,,,2,2006-03-30
6031,817,0,,,12,2006-05-23
6031,818,0.06,0.01,6,7,2006-03-30
6031,819,0.01,0,6,7,2006-03-30
6031,820,0,0,6,7,2006-03-30
6031,821,0.12,0.01,6,7,2006-03-30
6031,823,0,0,6,7,2006-03-30
6031,824,1.09,0.07,6,7,2006-03-30
6031,825,0.14,0.01,6,7,2006-03-30
6031,826,0.02,0,6,7,2006-03-30
6031,827,0,,,12,2009-09-30
6031,828,0.157,,0,0,2015-01-15
6031,829,0.155,,0,0,2015-01-16
6031,831,0.01,0,6,7,2006-03-30
6031,832,0,,,12,2009-06-22
6031,834,0,,0,0,2015-01-15
6031,835,0,,0,0,2015-01-15
6031,836,0,,0,0,2015-01-15
6031,837,0,,0,0,2015-01-15
6031,838,0.011,,0,0,2015-01-16
6031,840,0,0,6,7,2006-03-30
6031,841,0,0,6,7,2006-03-30
6031,846,0,0,6,7,2006-03-30
6031,852,0,,,12,2010-07-09
6031,854,0,,,12,2009-06-22
6031,855,0.04,0,6,7,2006-03-30
6031,859,0.015,,0,0,2015-01-16
6031,861,0,,,12,2009-06-22
6031,862,80.1,,0,0,2015-01-15
6031,863,13.7,,0,0,2015-01-15
6031,868,0.01,,,2,2009-09-30
6031,869,0.18,,,2,2009-09-30
6031,874,0,,0,0,2015-01-16
6031,875,0,,0,0,2015-01-16
6032,203,22.66,0.19,9,7,2006-03-30
6032,204,2.54,0.29,9,7,2006-03-30
6032,205,0,,,12,2006-03-30
6032,207,1.1,0.01,9,7,2006-03-30
6032,208,120,,,2,2006-03-30
6032,210,0,,,12,2006-03-30
6032,211,0,,,12,2006-03-30
6032,212,0,,,12,2006-03-30
