FoodID,NutrientID,NutrientValue,StandardError,NumberofObservations,NutrientSourceID,NutrientDateOfEntry
502547,339,0.2,,1,3,2014-06-17
502547,401,0.5,,,5,2014-06-17
502547,404,0.06,,1,3,2014-06-17
502547,405,0.217,,1,3,2014-06-17
502547,406,4.28,,1,3,2014-06-17
502547,409,6.73,,,107,2014-06-17
502547,410,1.08,,,5,2014-06-17
502547,415,0.205,,1,3,2014-06-17
502547,417,6,,,5,2014-06-17
502547,418,2.586,,1,3,2014-06-17
502547,430,1.5,,,5,2014-06-17
502547,431,0,,,5,2014-06-17
502547,501,0.147,,,107,2014-06-17
502547,502,0.709,,,107,2014-06-17
502547,503,0.789,,,107,2014-06-17
502547,504,1.332,,,107,2014-06-17
502547,505,1.498,,,107,2014-06-17
502547,506,0.424,,,107,2014-06-17
502547,507,0.183,,,107,2014-06-17
502547,508,0.688,,,107,2014-06-17
502547,509,0.591,,,107,2014-06-17
502547,510,0.824,,,107,2014-06-17
502547,511,1.148,,,107,2014-06-17
502547,512,0.459,,,107,2014-06-17
502547,513,1.07,,,107,2014-06-17
502547,514,1.597,,,107,2014-06-17
502547,515,2.828,,,107,2014-06-17
502547,516,1.033,,,107,2014-06-17
502547,517,0.788,,,107,2014-06-17
502547,518,0.733,,,107,2014-06-17
502547,601,70,,1,3,2014-06-17
502547,605,0.036,,,107,2014-07-25
502547,606,2.02,,1,3,2014-07-25
502547,607,0,,1,3,2014-07-25
502547,608,0,,1,3,2014-07-25
502547,609,0,,1,3,2014-07-25
502547,610,0,,1,3,2014-07-25
502547,611,0,,1,3,2014-07-25
502547,612,0.059,,1,3,2014-07-25
502547,613,1.406,,1,3,2014-07-25
502547,614,0.555,,1,3,2014-07-25
502547,615,0,,1,3,2014-07-25
502547,617,2.052,,,107,2014-07-25
502547,618,1.042,,,107,2014-07-25
502547,619,0.052,,,107,2014-07-25
502547,620,0.033,,,107,2014-07-25
502547,621,0,,1,3,2014-07-25
502547,624,0,,1,3,2014-07-25
502547,625,0,,1,3,2014-07-25
502547,626,0.214,,,107,2014-07-25
502547,627,0,,1,3,2014-07-25
502547,629,0,,1,3,2014-07-25
502547,630,0,,,107,2014-07-25
502547,631,0,,1,3,2014-07-25
502547,645,2.266,,1,3,2014-07-25
502547,646,1.127,,1,3,2014-07-25
502547,652,0,,1,3,2014-07-25
502547,653,0,,1,3,2014-07-25
502547,654,0,,1,3,2014-07-25
502547,802,0.15,,,107,2014-06-17
502547,803,0.55,,,107,2014-06-17
502547,806,6,,,5,2014-06-17
502547,814,13,,,5,2014-06-17
502547,815,6,,,4,2014-06-17
502547,817,0,,1,3,2014-07-25
502547,818,0.036,,1,3,2014-07-25
502547,819,0,,1,3,2014-07-25
502547,820,0,,1,3,2014-07-25
502547,821,0.214,,1,3,2014-07-25
502547,823,0,,1,3,2014-07-25
502547,824,2.016,,1,3,2014-07-25
502547,825,1.042,,1,3,2014-07-25
502547,826,0,,1,3,2014-07-25
502547,827,0,,,107,2014-07-25
502547,828,0.18,,,107,2014-06-17
502547,829,0.036,,,107,2014-07-25
502547,831,0.052,,1,3,2014-07-25
502547,832,0,,1,3,2014-07-25
502547,833,0,,1,3,2014-07-25
502547,834,11,,,5,2014-06-17
502547,838,0,,1,3,2014-07-25
502547,840,0,,1,3,2014-07-25
502547,841,0,,1,3,2014-07-25
502547,843,0,,1,3,2014-07-25
502547,845,0,,1,3,2014-07-25
502547,846,0,,,107,2014-07-25
502547,848,0,,1,3,2014-07-25
502547,849,0,,1,3,2014-07-25
502547,852,0,,1,3,2014-07-25
502547,853,0,,1,3,2014-07-25
502547,854,0,,1,3,2014-07-25
502547,855,0.033,,1,3,2014-07-25
502547,859,0,,,107,2014-07-25
502547,861,0,,1,3,2014-07-25
502547,862,33.9,,,5,2014-06-17
502547,863,3,,,5,2014-06-17
502547,868,0.052,,,107,2014-07-25
502547,869,1.074,,,107,2014-07-25
502551,203,17.88,,2,3,2014-06-26
502551,204,18.64,,2,3,2014-06-26
502551,205,1.38,,,107,2014-06-26
502551,207,1.76,,2,3,2014-06-26
502551,208,250,,,107,2014-06-26
502551,210,0.03,,2,3,2014-06-26
502551,211,0.54,,2,3,2014-06-26
